model	language	task	perturbation	probing_location	dev_acc	test_acc	probing_location_better
mBERT	Czech	animacy_verb	mBERT-lc-3	last	94.85	94.5	True
mBERT	Czech	aspect_adj	mBERT-lc-3	last	88.75	87.4	True
mBERT	Czech	aspect_verb	mBERT-lc-3	last	79.05	79.65	True
mBERT	Czech	case_adj	mBERT-lc-3	last	84.6078431372549	80.49019607843137	True
mBERT	Czech	case_propn	mBERT-lc-3	last	80.3921568627451	76.51960784313727	True
mBERT	Czech	degree_adj	mBERT-lc-3	last	96.9	95.1	True
mBERT	Czech	gender_adj	mBERT-lc-3	last	74.77611940298507	69.9004975124378	True
mBERT	Czech	gender_noun	mBERT-lc-3	last	74.32835820895522	72.38805970149254	True
mBERT	Czech	gender_propn	mBERT-lc-3	last	73.48258706467661	74.4776119402985	True
mBERT	Czech	gender_verb	mBERT-lc-3	last	89.1044776119403	83.53233830845771	True
mBERT	Czech	mood_verb	mBERT-lc-3	last	97.85	94.05	True
mBERT	Czech	nametype_propn	mBERT-lc-3	last	58.22660098522168	55.95	True
mBERT	Czech	number_adj	mBERT-lc-3	last	91.1	95.3	True
mBERT	Czech	number_noun	mBERT-lc-3	last	90.0	87.05	True
mBERT	Czech	number_propn	mBERT-lc-3	last	92.55	88.2	True
mBERT	Czech	number_verb	mBERT-lc-3	last	92.8	94.0	True
mBERT	Czech	person_verb	mBERT-lc-3	last	100.0	98.1592039800995	True
mBERT	Czech	polarity_adj	mBERT-lc-3	last	92.85	84.4	True
mBERT	Czech	polarity_verb	mBERT-lc-3	last	95.15	93.6	True
mBERT	Czech	voice_adj	mBERT-lc-3	last	100.0	100.0	True
mBERT	Danish	definite_noun	mBERT-lc-3	last	97.5	97.8	True
mBERT	Danish	gender_noun	mBERT-lc-3	last	82.8	73.3	True
mBERT	Danish	number_noun	mBERT-lc-3	last	85.75	88.85	True
mBERT	Danish	tense_verb	mBERT-lc-3	last	98.55	97.25	True
mBERT	Danish	verbform_verb	mBERT-lc-3	last	87.66169154228855	89.1542288557214	True
mBERT	Dutch	gender_noun	mBERT-lc-3	last	77.15	75.5	True
mBERT	Dutch	gender_propn	mBERT-lc-3	last	67.55	66.85	True
mBERT	Dutch	number_noun	mBERT-lc-3	last	97.8	96.8	True
mBERT	Dutch	verbform_verb	mBERT-lc-3	last	85.02487562189056	86.11940298507463	True
mBERT	English	number_noun	mBERT-lc-3	last	95.0	96.7	True
mBERT	English	tense_verb	mBERT-lc-3	last	98.9	95.35	True
mBERT	English	verbform_verb	mBERT-lc-3	last	74.35	77.7	True
mBERT	Estonian	case_adj	mBERT-lc-3	last	95.8	93.55	True
mBERT	Estonian	case_noun	mBERT-lc-3	last	85.33333333333333	84.47619047619048	True
mBERT	Estonian	number_adj	mBERT-lc-3	last	93.0	93.6	True
mBERT	Estonian	number_noun	mBERT-lc-3	last	92.85	88.83333333333333	True
mBERT	Estonian	number_verb	mBERT-lc-3	last	98.35	97.5	True
mBERT	Estonian	person_verb	mBERT-lc-3	last	97.76119402985076	96.6	True
mBERT	Estonian	tense_adj	mBERT-lc-3	last	99.35	99.4	True
mBERT	Estonian	tense_verb	mBERT-lc-3	last	92.8	87.15	True
mBERT	Estonian	verbform_verb	mBERT-lc-3	last	94.65	94.009900990099	True
mBERT	Estonian	voice_adj	mBERT-lc-3	last	96.2	92.45	True
mBERT	Estonian	voice_verb	mBERT-lc-3	last	91.2	90.0	True
mBERT	Finnish	case_adj	mBERT-lc-3	last	89.27884615384615	88.80382775119618	True
mBERT	Finnish	case_noun	mBERT-lc-3	last	81.44927536231884	80.29850746268656	True
mBERT	Finnish	case_propn	mBERT-lc-3	last	89.9009900990099	90.75	True
mBERT	Finnish	case_verb	mBERT-lc-3	last	83.71428571428571	86.38095238095235	True
mBERT	Finnish	degree_adj	mBERT-lc-3	last	79.45	70.0	True
mBERT	Finnish	derivation_adj	mBERT-lc-3	last	66.4	69.65	True
mBERT	Finnish	derivation_noun	mBERT-lc-3	last	84.9009900990099	83.2	True
mBERT	Finnish	infform_verb	mBERT-lc-3	last	91.15	82.7363184079602	True
mBERT	Finnish	mood_verb	mBERT-lc-3	last	78.25870646766168	77.96019900497512	True
mBERT	Finnish	number_adj	mBERT-lc-3	last	88.1	87.5	True
mBERT	Finnish	number_noun	mBERT-lc-3	last	72.65	76.5	True
mBERT	Finnish	number_verb	mBERT-lc-3	last	87.2	89.55	True
mBERT	Finnish	partform_verb	mBERT-lc-3	last	92.38805970149255	88.50746268656717	True
mBERT	Finnish	tense_verb	mBERT-lc-3	last	84.65	88.6	True
mBERT	Finnish	verbform_verb	mBERT-lc-3	last	83.28358208955224	79.05472636815921	True
mBERT	Finnish	voice_verb	mBERT-lc-3	last	81.5	76.25	True
mBERT	French	gender_adj	mBERT-lc-3	last	88.35	79.95	True
mBERT	French	gender_noun	mBERT-lc-3	last	81.95	82.8	True
mBERT	French	gender_verb	mBERT-lc-3	last	100.0	99.6	True
mBERT	French	number_adj	mBERT-lc-3	last	100.0	95.35	True
mBERT	French	number_noun	mBERT-lc-3	last	94.5	97.55	True
mBERT	French	number_verb	mBERT-lc-3	last	99.5	98.4	True
mBERT	French	tense_verb	mBERT-lc-3	last	88.2	78.51485148514853	True
mBERT	French	verbform_verb	mBERT-lc-3	last	97.16417910447761	93.93034825870647	True
mBERT	German	case_adj	mBERT-lc-3	last	66.4	67.15	True
mBERT	German	case_noun	mBERT-lc-3	last	59.0	51.45	True
mBERT	German	case_propn	mBERT-lc-3	last	52.1	56.0	True
mBERT	German	gender_adj	mBERT-lc-3	last	61.65	56.01990049751244	True
mBERT	German	gender_noun	mBERT-lc-3	last	64.77611940298507	60.199004975124375	True
mBERT	German	gender_propn	mBERT-lc-3	last	57.7	52.93532338308457	True
mBERT	German	number_adj	mBERT-lc-3	last	82.7	80.65	True
mBERT	German	number_noun	mBERT-lc-3	last	89.95	84.45	True
mBERT	German	number_verb	mBERT-lc-3	last	98.0	100.0	True
mBERT	German	tense_verb	mBERT-lc-3	last	90.55	81.0	True
mBERT	German	verbform_verb	mBERT-lc-3	last	89.75	80.74626865671641	True
mBERT	Greek	aspect_verb	mBERT-lc-3	last	91.8	79.5	True
mBERT	Greek	case_noun	mBERT-lc-3	last	82.7363184079602	84.32835820895522	True
mBERT	Greek	gender_noun	mBERT-lc-3	last	73.08457711442786	76.81592039800995	True
mBERT	Greek	number_noun	mBERT-lc-3	last	96.95	95.9	True
mBERT	Greek	voice_verb	mBERT-lc-3	last	94.75	95.45	True
mBERT	Hebrew	gender_noun	mBERT-lc-3	last	94.5	94.0	True
mBERT	Hebrew	gender_verb	mBERT-lc-3	last	85.5	76.3	True
mBERT	Hebrew	hebbinyan_verb	mBERT-lc-3	last	68.0597014925373	54.28571428571429	True
mBERT	Hebrew	number_noun	mBERT-lc-3	last	95.85	95.45	True
mBERT	Hebrew	number_verb	mBERT-lc-3	last	95.25	98.0	True
mBERT	Hindi	case_adj	mBERT-lc-3	last	78.4	75.65	True
mBERT	Hindi	case_noun	mBERT-lc-3	last	92.85	83.05	True
mBERT	Hindi	case_propn	mBERT-lc-3	last	96.0	86.5	True
mBERT	Hindi	gender_noun	mBERT-lc-3	last	78.8	77.15	True
mBERT	Hindi	gender_propn	mBERT-lc-3	last	75.75	63.15	True
mBERT	Hindi	number_noun	mBERT-lc-3	last	87.4	90.45	True
mBERT	Hungarian	number[psor]_noun	mBERT-lc-3	last	89.65	87.6	True
mBERT	Hungarian	number_noun	mBERT-lc-3	last	91.6	88.9	True
mBERT	Hungarian	person[psor]_noun	mBERT-lc-3	last	92.55	91.35	True
mBERT	Italian	gender_adj	mBERT-lc-3	last	100.0	89.65	True
mBERT	Italian	gender_noun	mBERT-lc-3	last	91.2	88.6	True
mBERT	Italian	number_adj	mBERT-lc-3	last	96.3	93.9	True
mBERT	Italian	number_noun	mBERT-lc-3	last	96.05	90.75	True
mBERT	Italian	number_verb	mBERT-lc-3	last	92.8	95.7	True
mBERT	Italian	person_verb	mBERT-lc-3	last	89.8	89.8	True
mBERT	Italian	tense_verb	mBERT-lc-3	last	88.0	77.5	True
mBERT	Italian	verbform_verb	mBERT-lc-3	last	95.9	95.6	True
mBERT	Latin	aspect_verb	mBERT-lc-3	last	98.15	96.4	True
mBERT	Latin	case_verb	mBERT-lc-3	last	79.10447761194033	70.44554455445544	True
mBERT	Latin	gender_adj	mBERT-lc-3	last	71.6915422885572	62.885572139303484	True
mBERT	Latin	gender_noun	mBERT-lc-3	last	71.9402985074627	70.9950248756219	True
mBERT	Latin	gender_verb	mBERT-lc-3	last	77.71144278606967	73.88059701492537	True
mBERT	Latin	mood_verb	mBERT-lc-3	last	81.59203980099502	81.9	True
mBERT	Latin	number_adj	mBERT-lc-3	last	82.8	85.45	True
mBERT	Latin	number_noun	mBERT-lc-3	last	87.3	74.8	True
mBERT	Latin	number_verb	mBERT-lc-3	last	87.7	83.25	True
mBERT	Latin	person_verb	mBERT-lc-3	last	100.0	94.62686567164181	True
mBERT	Latin	tense_verb	mBERT-lc-3	last	77.12871287128714	62.835820895522396	True
mBERT	Latin	verbform_verb	mBERT-lc-3	last	90.54726368159206	79.85074626865672	True
mBERT	Latin	voice_verb	mBERT-lc-3	last	93.75	88.85	True
mBERT	Latvian	case_adj	mBERT-lc-3	last	87.35	85.5	True
mBERT	Latvian	case_noun	mBERT-lc-3	last	91.25	87.35	True
mBERT	Latvian	case_propn	mBERT-lc-3	last	92.45	94.3	True
mBERT	Latvian	definite_adj	mBERT-lc-3	last	92.7	90.45	True
mBERT	Latvian	definite_verb	mBERT-lc-3	last	96.0	92.2	True
mBERT	Latvian	gender_adj	mBERT-lc-3	last	87.8	81.0	True
mBERT	Latvian	gender_noun	mBERT-lc-3	last	85.1	82.55	True
mBERT	Latvian	gender_propn	mBERT-lc-3	last	89.6	87.45	True
mBERT	Latvian	gender_verb	mBERT-lc-3	last	88.25	94.5	True
mBERT	Latvian	number_adj	mBERT-lc-3	last	93.5	92.85	True
mBERT	Latvian	number_verb	mBERT-lc-3	last	91.35	91.3	True
mBERT	Latvian	person_verb	mBERT-lc-3	last	94.12935323383086	85.5721393034826	True
mBERT	Latvian	polarity_verb	mBERT-lc-3	last	93.3	93.6	True
mBERT	Latvian	tense_verb	mBERT-lc-3	last	86.21890547263682	77.66169154228857	True
mBERT	Latvian	verbform_verb	mBERT-lc-3	last	87.45	85.5	True
mBERT	Latvian	voice_verb	mBERT-lc-3	last	91.7	94.35	True
mBERT	Lithuanian	case_noun	mBERT-lc-3	last	90.49019607843135	89.26470588235296	True
mBERT	Lithuanian	gender_noun	mBERT-lc-3	last	80.95	84.2	True
mBERT	Lithuanian	number_noun	mBERT-lc-3	last	92.1	90.7	True
mBERT	Lithuanian	number_verb	mBERT-lc-3	last	79.5	81.0	True
mBERT	Norwegian_Bokmal	definite_adj	mBERT-lc-3	last	97.35	96.85	True
mBERT	Norwegian_Bokmal	definite_noun	mBERT-lc-3	last	95.5	97.3	True
mBERT	Norwegian_Bokmal	gender_noun	mBERT-lc-3	last	67.2636815920398	66.46766169154229	True
mBERT	Norwegian_Bokmal	number_adj	mBERT-lc-3	last	93.5	90.25	True
mBERT	Norwegian_Bokmal	number_noun	mBERT-lc-3	last	93.55	93.15	True
mBERT	Norwegian_Bokmal	tense_verb	mBERT-lc-3	last	99.45	98.9	True
mBERT	Norwegian_Bokmal	verbform_verb	mBERT-lc-3	last	92.08955223880596	89.75124378109453	True
mBERT	Norwegian_Nynorsk	definite_adj	mBERT-lc-3	last	96.3	94.85	True
mBERT	Norwegian_Nynorsk	definite_noun	mBERT-lc-3	last	98.5	98.75	True
mBERT	Norwegian_Nynorsk	gender_noun	mBERT-lc-3	last	80.89552238805969	76.66666666666666	True
mBERT	Norwegian_Nynorsk	number_adj	mBERT-lc-3	last	96.0	89.0	True
mBERT	Norwegian_Nynorsk	number_noun	mBERT-lc-3	last	86.75	88.0	True
mBERT	Norwegian_Nynorsk	tense_verb	mBERT-lc-3	last	92.7	90.7	True
mBERT	Norwegian_Nynorsk	verbform_verb	mBERT-lc-3	last	89.85	76.91542288557214	True
mBERT	Persian	number_noun	mBERT-lc-3	last	89.2	89.7	True
mBERT	Polish	animacy_adj	mBERT-lc-3	last	81.15	83.3	True
mBERT	Polish	animacy_noun	mBERT-lc-3	last	68.9	64.32835820895522	True
mBERT	Polish	aspect_adj	mBERT-lc-3	last	82.75	82.6	True
mBERT	Polish	aspect_verb	mBERT-lc-3	last	76.25	75.45	True
mBERT	Polish	case_adj	mBERT-lc-3	last	92.2	86.0	True
mBERT	Polish	case_propn	mBERT-lc-3	last	74.3069306930693	74.65	True
mBERT	Polish	gender_adj	mBERT-lc-3	last	78.2089552238806	77.06467661691542	True
mBERT	Polish	gender_noun	mBERT-lc-3	last	75.37313432835822	78.50746268656717	True
mBERT	Polish	gender_propn	mBERT-lc-3	last	70.09950248756219	67.95	True
mBERT	Polish	gender_verb	mBERT-lc-3	last	94.02985074626868	95.57213930348259	True
mBERT	Polish	mood_verb	mBERT-lc-3	last	98.5	97.9	True
mBERT	Polish	number_adj	mBERT-lc-3	last	95.75	91.3	True
mBERT	Polish	number_noun	mBERT-lc-3	last	90.6	87.9	True
mBERT	Polish	number_verb	mBERT-lc-3	last	97.95	98.35	True
mBERT	Polish	person_verb	mBERT-lc-3	last	98.00995024875623	96.8	True
mBERT	Polish	subgender_adj	mBERT-lc-3	last	85.95	82.2	True
mBERT	Polish	tense_verb	mBERT-lc-3	last	85.5721393034826	81.1	True
mBERT	Polish	verbform_verb	mBERT-lc-3	last	88.95	87.47524752475246	True
mBERT	Polish	voice_adj	mBERT-lc-3	last	97.5	95.9	True
mBERT	Portuguese	gender_noun	mBERT-lc-3	last	90.75	92.65	True
mBERT	Portuguese	gender_propn	mBERT-lc-3	last	77.2	64.1	True
mBERT	Portuguese	number_noun	mBERT-lc-3	last	100.0	97.75	True
mBERT	Portuguese	number_verb	mBERT-lc-3	last	99.0	99.3	True
mBERT	Romanian	definite_noun	mBERT-lc-3	last	98.05	93.5	True
mBERT	Romanian	gender_adj	mBERT-lc-3	last	98.95	97.3	True
mBERT	Romanian	gender_noun	mBERT-lc-3	last	94.55	92.65	True
mBERT	Romanian	mood_verb	mBERT-lc-3	last	81.64179104477611	79.05472636815921	True
mBERT	Romanian	number_adj	mBERT-lc-3	last	98.0	97.65	True
mBERT	Romanian	number_noun	mBERT-lc-3	last	94.75	94.0	True
mBERT	Romanian	number_verb	mBERT-lc-3	last	92.95	89.1	True
mBERT	Romanian	person_verb	mBERT-lc-3	last	90.95	85.5223880597015	True
mBERT	Romanian	tense_verb	mBERT-lc-3	last	89.55445544554456	83.05	True
mBERT	Romanian	verbform_verb	mBERT-lc-3	last	91.45	86.55	True
mBERT	Russian	animacy_adj	mBERT-lc-3	last	83.6	83.2	True
mBERT	Russian	animacy_noun	mBERT-lc-3	last	82.25	78.15	True
mBERT	Russian	animacy_propn	mBERT-lc-3	last	89.1	85.55	True
mBERT	Russian	aspect_verb	mBERT-lc-3	last	78.3	74.85	True
mBERT	Russian	case_adj	mBERT-lc-3	last	86.61764705882352	84.0686274509804	True
mBERT	Russian	case_noun	mBERT-lc-3	last	83.18627450980394	72.5	True
mBERT	Russian	case_propn	mBERT-lc-3	last	71.56862745098039	71.56862745098039	True
mBERT	Russian	case_verb	mBERT-lc-3	last	81.76470588235296	79.26470588235291	True
mBERT	Russian	gender_adj	mBERT-lc-3	last	92.18905472636816	91.6915422885572	True
mBERT	Russian	gender_noun	mBERT-lc-3	last	84.22885572139303	78.35820895522389	True
mBERT	Russian	gender_propn	mBERT-lc-3	last	80.24875621890548	62.58706467661692	True
mBERT	Russian	gender_verb	mBERT-lc-3	last	95.12437810945275	91.29353233830845	True
mBERT	Russian	mood_verb	mBERT-lc-3	last	90.75	93.95	True
mBERT	Russian	number_adj	mBERT-lc-3	last	99.5	96.6	True
mBERT	Russian	number_noun	mBERT-lc-3	last	94.05	90.7	True
mBERT	Russian	number_verb	mBERT-lc-3	last	92.25	92.85	True
mBERT	Russian	person_verb	mBERT-lc-3	last	97.363184079602	96.86567164179105	True
mBERT	Russian	tense_verb	mBERT-lc-3	last	83.23383084577115	78.75621890547265	True
mBERT	Russian	verbform_verb	mBERT-lc-3	last	95.05	92.8	True
mBERT	Russian	voice_verb	mBERT-lc-3	last	93.93034825870647	93.83084577114428	True
mBERT	Serbian	case_noun	mBERT-lc-3	last	78.12807881773399	78.70646766169155	True
mBERT	Serbian	gender_adj	mBERT-lc-3	last	75.67164179104478	79.70149253731343	True
mBERT	Serbian	gender_noun	mBERT-lc-3	last	76.16915422885573	76.3681592039801	True
mBERT	Serbian	number_adj	mBERT-lc-3	last	92.55	91.1	True
mBERT	Serbian	number_noun	mBERT-lc-3	last	90.9	88.85	True
mBERT	Serbian	number_verb	mBERT-lc-3	last	93.7	94.85	True
mBERT	Slovak	animacy_adj	mBERT-lc-3	last	86.9	89.4	True
mBERT	Slovak	animacy_noun	mBERT-lc-3	last	90.05	92.2	True
mBERT	Slovak	aspect_verb	mBERT-lc-3	last	86.05	82.0	True
mBERT	Slovak	case_noun	mBERT-lc-3	last	77.59803921568627	82.15686274509804	True
mBERT	Slovak	gender_adj	mBERT-lc-3	last	77.81094527363184	74.12935323383086	True
mBERT	Slovak	gender_noun	mBERT-lc-3	last	83.13432835820895	80.04975124378109	True
mBERT	Slovak	gender_verb	mBERT-lc-3	last	89.30348258706468	86.7	True
mBERT	Slovak	number_adj	mBERT-lc-3	last	93.5	95.1	True
mBERT	Slovak	number_noun	mBERT-lc-3	last	87.3	90.35	True
mBERT	Slovak	number_verb	mBERT-lc-3	last	99.7	98.4	True
mBERT	Slovak	tense_verb	mBERT-lc-3	last	99.0	99.1	True
mBERT	Slovak	verbform_verb	mBERT-lc-3	last	99.50248756218907	99.9	True
mBERT	Slovenian	aspect_verb	mBERT-lc-3	last	77.6	74.1	True
mBERT	Slovenian	case_adj	mBERT-lc-3	last	84.22885572139303	84.77611940298507	True
mBERT	Slovenian	case_noun	mBERT-lc-3	last	69.31372549019609	72.30392156862743	True
mBERT	Slovenian	gender_adj	mBERT-lc-3	last	67.71144278606964	69.90049751243781	True
mBERT	Slovenian	gender_noun	mBERT-lc-3	last	82.28855721393035	69.95024875621891	True
mBERT	Slovenian	number_adj	mBERT-lc-3	last	94.45	88.1	True
mBERT	Slovenian	person_verb	mBERT-lc-3	last	98.5	94.32835820895524	True
mBERT	Slovenian	verbform_verb	mBERT-lc-3	last	99.50248756218907	97.31343283582092	True
mBERT	Spanish	gender_adj	mBERT-lc-3	last	99.95	95.1	True
mBERT	Spanish	gender_noun	mBERT-lc-3	last	95.3	89.55	True
mBERT	Spanish	number_adj	mBERT-lc-3	last	100.0	100.0	True
mBERT	Spanish	number_noun	mBERT-lc-3	last	98.5	98.0	True
mBERT	Spanish	number_verb	mBERT-lc-3	last	99.5	99.5	True
mBERT	Spanish	tense_verb	mBERT-lc-3	last	91.65	82.5	True
mBERT	Spanish	verbform_verb	mBERT-lc-3	last	93.05	93.55	True
mBERT	Swedish	case_noun	mBERT-lc-3	last	100.0	97.95	True
mBERT	Swedish	definite_adj	mBERT-lc-3	last	92.2	94.5	True
mBERT	Swedish	definite_noun	mBERT-lc-3	last	93.55	89.4	True
mBERT	Swedish	gender_noun	mBERT-lc-3	last	79.25	72.55	True
mBERT	Swedish	number_adj	mBERT-lc-3	last	90.25	88.3	True
mBERT	Swedish	number_noun	mBERT-lc-3	last	83.95	84.35	True
mBERT	Swedish	tense_verb	mBERT-lc-3	last	99.15	94.75	True
mBERT	Swedish	voice_verb	mBERT-lc-3	last	92.0	97.45	True
mBERT	Turkish	aspect_verb	mBERT-lc-3	last	90.24875621890547	84.07960199004974	True
mBERT	Turkish	case_noun	mBERT-lc-3	last	94.87684729064037	92.26600985221675	True
mBERT	Turkish	number_noun	mBERT-lc-3	last	93.0	90.4	True
mBERT	Turkish	number_verb	mBERT-lc-3	last	95.9	93.5	True
mBERT	Turkish	person_verb	mBERT-lc-3	last	90.84577114427861	92.55	True
mBERT	Turkish	polarity_verb	mBERT-lc-3	last	82.6	76.0	True
mBERT	Turkish	verbform_verb	mBERT-lc-3	last	92.5870646766169	89.55223880597016	True
mBERT	Ukrainian	animacy_noun	mBERT-lc-3	last	83.7	78.85	True
mBERT	Ukrainian	aspect_verb	mBERT-lc-3	last	78.05	83.6	True
mBERT	Ukrainian	case_adj	mBERT-lc-3	last	91.8	89.9	True
mBERT	Ukrainian	case_noun	mBERT-lc-3	last	75.22167487684729	78.13725490196079	True
mBERT	Ukrainian	gender_adj	mBERT-lc-3	last	93.58208955223881	91.09452736318408	True
mBERT	Ukrainian	gender_noun	mBERT-lc-3	last	76.2189054726368	73.23383084577115	True
mBERT	Ukrainian	number_adj	mBERT-lc-3	last	99.45	98.45	True
mBERT	Ukrainian	number_verb	mBERT-lc-3	last	93.95	88.9	True
mBERT	Ukrainian	tense_verb	mBERT-lc-3	last	85.77114427860697	80.8955223880597	True
mBERT	Urdu	case_noun	mBERT-lc-3	last	84.9	87.15	True
mBERT	Urdu	case_propn	mBERT-lc-3	last	79.45	86.0	True
mBERT	Urdu	gender_noun	mBERT-lc-3	last	80.95	75.3	True
mBERT	Urdu	number_noun	mBERT-lc-3	last	95.55	86.2	True
mBERT	Afrikaans	number_noun	mBERT-rand-lc-1	last	87.95	87.1	True
mBERT	Albanian	case_noun	mBERT-rand-lc-1	last	49.9	51.6	True
mBERT	Albanian	case_propn	mBERT-rand-lc-1	last	80.84577114427861	71.8	True
mBERT	Albanian	definite_noun	mBERT-rand-lc-1	last	74.1	76.5	True
mBERT	Albanian	gender_noun	mBERT-rand-lc-1	last	75.7	74.1	True
mBERT	Albanian	gender_propn	mBERT-rand-lc-1	last	84.75	79.5	True
mBERT	Albanian	number_noun	mBERT-rand-lc-1	last	84.8	80.5	True
mBERT	Albanian	number_verb	mBERT-rand-lc-1	last	78.85	84.55	True
mBERT	Arabic	aspect_verb	mBERT-rand-lc-1	last	76.1	81.2	True
mBERT	Arabic	case_adj	mBERT-rand-lc-1	last	59.203980099502495	58.80597014925373	True
mBERT	Arabic	case_noun	mBERT-rand-lc-1	last	57.16417910447761	53.880597014925364	True
mBERT	Arabic	definite_noun	mBERT-rand-lc-1	last	52.43781094527363	43.5820895522388	True
mBERT	Arabic	gender_adj	mBERT-rand-lc-1	last	97.3	96.95	True
mBERT	Arabic	gender_verb	mBERT-rand-lc-1	last	73.25	69.05	True
mBERT	Armenian	animacy_noun	mBERT-rand-lc-1	last	65.0	59.65	True
mBERT	Armenian	definite_noun	mBERT-rand-lc-1	last	93.55	94.95	True
mBERT	Armenian	subcat_verb	mBERT-rand-lc-1	last	60.1	55.1	True
mBERT	Basque	case_noun	mBERT-rand-lc-1	last	56.36363636363636	56.26794258373205	True
mBERT	Basque	definite_noun	mBERT-rand-lc-1	last	67.45	65.4	True
mBERT	Basque	number_noun	mBERT-rand-lc-1	last	68.55	73.25	True
mBERT	Bulgarian	aspect_verb	mBERT-rand-lc-1	last	65.3	60.85	True
mBERT	Bulgarian	definite_adj	mBERT-rand-lc-1	last	81.75	78.85	True
mBERT	Bulgarian	definite_noun	mBERT-rand-lc-1	last	75.7	74.55	True
mBERT	Bulgarian	gender_adj	mBERT-rand-lc-1	last	100.0	98.80597014925374	True
mBERT	Bulgarian	gender_noun	mBERT-rand-lc-1	last	68.90547263681592	66.31840796019901	True
mBERT	Bulgarian	number_adj	mBERT-rand-lc-1	last	99.05	98.0	True
