model	language	task	perturbation	probing_location	dev_acc	test_acc
mBERT	Albanian	gender_noun	mBERT-rand-subw	last	75.2	72.4
mBERT	Albanian	gender_propn		first	84.85	71.45
mBERT	Albanian	gender_propn		last	90.1	81.6
mBERT	Albanian	gender_propn	mBERT-char	first	78.35	70.5
mBERT	Albanian	gender_propn	mBERT-char	last	90.1	81.35
mBERT	Albanian	gender_propn	mBERT-rand-char	first	57.9	50.05
mBERT	Albanian	gender_propn	mBERT-rand-char	last	85.25	80.1
mBERT	Albanian	gender_propn	mBERT-rand-subw	first	62.55	58.7
mBERT	Albanian	gender_propn	mBERT-rand-subw	last	77.75	71.95
mBERT	Albanian	number_noun		first	87.3	86.65
mBERT	Albanian	number_noun		last	93.4	92.75
mBERT	Albanian	number_noun	mBERT-char	first	75.9	73.85
mBERT	Albanian	number_noun	mBERT-char	last	91.55	89.9
mBERT	Albanian	number_noun	mBERT-rand-char	first	55.35000000000001	48.5
mBERT	Albanian	number_noun	mBERT-rand-char	last	84.3	79.1
mBERT	Albanian	number_noun	mBERT-rand-subw	first	52.05	48.25
mBERT	Albanian	number_noun	mBERT-rand-subw	last	85.15	79.4
mBERT	Albanian	number_verb		first	72.1	70.4
mBERT	Albanian	number_verb		last	93.05	91.65
mBERT	Albanian	number_verb	mBERT-char	first	57.75	53.3
mBERT	Albanian	number_verb	mBERT-char	last	91.35	90.8
mBERT	Albanian	number_verb	mBERT-rand-char	first	57.15	49.55
mBERT	Albanian	number_verb	mBERT-rand-char	last	78.3	83.0
mBERT	Albanian	number_verb	mBERT-rand-subw	first	63.7	48.65
mBERT	Albanian	number_verb	mBERT-rand-subw	last	87.05	79.35
mBERT	Arabic	aspect_verb		first	95.5	94.5
mBERT	Arabic	aspect_verb		last	94.35	95.05
mBERT	Arabic	aspect_verb	mBERT-char	first	94.25	93.65
mBERT	Arabic	aspect_verb	mBERT-char	last	91.45	91.05
mBERT	Arabic	aspect_verb	mBERT-rand-char	first	92.3	88.65
mBERT	Arabic	aspect_verb	mBERT-rand-char	last	75.8	80.85
mBERT	Arabic	aspect_verb	mBERT-rand-subw	first	91.2	86.7
mBERT	Arabic	aspect_verb	mBERT-rand-subw	last	72.6	75.35
mBERT	Arabic	case_adj		first	76.46766169154229	66.4179104477612
mBERT	Arabic	case_adj		last	73.7810945273632	67.2139303482587
mBERT	Arabic	case_adj	mBERT-char	first	59.701492537313435	59.90049751243781
mBERT	Arabic	case_adj	mBERT-char	last	68.20895522388061	63.13432835820895
mBERT	Arabic	case_adj	mBERT-rand-char	first	51.8905472636816	51.79104477611939
mBERT	Arabic	case_adj	mBERT-rand-char	last	60.0497512437811	58.40796019900497
mBERT	Arabic	case_adj	mBERT-rand-subw	first	56.069651741293534	52.7860696517413
mBERT	Arabic	case_adj	mBERT-rand-subw	last	59.25373134328358	57.96019900497513
mBERT	Arabic	case_noun		first	80.49751243781094	73.7810945273632
mBERT	Arabic	case_noun		last	78.60696517412934	72.18905472636816
mBERT	Arabic	case_noun	mBERT-char	first	64.27860696517413	56.76616915422885
mBERT	Arabic	case_noun	mBERT-char	last	61.59203980099503	50.54726368159204
mBERT	Arabic	case_noun	mBERT-rand-char	first	51.791044776119406	41.19402985074627
mBERT	Arabic	case_noun	mBERT-rand-char	last	56.616915422885576	54.07960199004975
mBERT	Arabic	case_noun	mBERT-rand-subw	first	52.53731343283581	40.39800995024875
mBERT	Arabic	case_noun	mBERT-rand-subw	last	57.313432835820905	54.029850746268664
mBERT	Arabic	definite_noun		first	96.91542288557216	85.3731343283582
mBERT	Arabic	definite_noun		last	96.76616915422885	86.46766169154229
mBERT	Arabic	definite_noun	mBERT-char	first	84.17910447761194	72.8358208955224
mBERT	Arabic	definite_noun	mBERT-char	last	83.38308457711443	79.0049751243781
mBERT	Arabic	definite_noun	mBERT-rand-char	first	64.17910447761194	60.149253731343286
mBERT	Arabic	definite_noun	mBERT-rand-char	last	53.03482587064676	42.83582089552239
mBERT	Arabic	definite_noun	mBERT-rand-subw	first	69.30348258706468	56.616915422885576
mBERT	Arabic	definite_noun	mBERT-rand-subw	last	47.56218905472637	47.064676616915435
mBERT	Arabic	gender_adj		first	97.35	96.65
mBERT	Arabic	gender_adj		last	98.8	97.2
mBERT	Arabic	gender_adj	mBERT-char	first	94.05	95.25
mBERT	Arabic	gender_adj	mBERT-char	last	98.95	96.95
mBERT	Arabic	gender_adj	mBERT-rand-char	first	59.3	48.75
mBERT	Arabic	gender_adj	mBERT-rand-char	last	97.4	96.65
mBERT	Arabic	gender_adj	mBERT-rand-subw	first	56.65	53.75
mBERT	Arabic	gender_adj	mBERT-rand-subw	last	93.1	88.2
mBERT	Arabic	gender_verb		first	96.15	91.6
mBERT	Arabic	gender_verb		last	96.95	91.8
mBERT	Arabic	gender_verb	mBERT-char	first	93.8	90.1
mBERT	Arabic	gender_verb	mBERT-char	last	94.45	86.8
mBERT	Arabic	gender_verb	mBERT-rand-char	first	80.95	77.95
mBERT	Arabic	gender_verb	mBERT-rand-char	last	73.75	69.05
mBERT	Arabic	gender_verb	mBERT-rand-subw	first	82.3	74.75
mBERT	Arabic	gender_verb	mBERT-rand-subw	last	71.5	67.25
mBERT	Armenian	animacy_noun		first	90.15	83.9
mBERT	Armenian	animacy_noun		last	90.7	83.7
mBERT	Armenian	animacy_noun	mBERT-char	first	66.85	67.8
mBERT	Armenian	animacy_noun	mBERT-char	last	71.8	67.15
mBERT	Armenian	animacy_noun	mBERT-rand-char	first	61.1	54.6
mBERT	Armenian	animacy_noun	mBERT-rand-char	last	67.75	61.8
mBERT	Armenian	animacy_noun	mBERT-rand-subw	first	58.85	61.2
mBERT	Armenian	animacy_noun	mBERT-rand-subw	last	70.35	70.7
mBERT	Armenian	definite_noun		first	86.4	82.15
mBERT	Armenian	definite_noun		last	99.1	98.75
mBERT	Armenian	definite_noun	mBERT-char	first	79.1	81.5
mBERT	Armenian	definite_noun	mBERT-char	last	99.15	97.85
mBERT	Armenian	definite_noun	mBERT-rand-char	first	51.75	50.55
mBERT	Armenian	definite_noun	mBERT-rand-char	last	93.5	95.55
mBERT	Armenian	definite_noun	mBERT-rand-subw	first	59.65	47.65
mBERT	Armenian	definite_noun	mBERT-rand-subw	last	96.65	95.0
mBERT	Armenian	subcat_verb		first	84.5	77.35
mBERT	Armenian	subcat_verb		last	87.05	76.65
mBERT	Armenian	subcat_verb	mBERT-char	first	62.95	61.75
mBERT	Armenian	subcat_verb	mBERT-char	last	73.5	66.05
mBERT	Armenian	subcat_verb	mBERT-rand-char	first	52.65	47.65
mBERT	Armenian	subcat_verb	mBERT-rand-char	last	62.35	54.5
mBERT	Armenian	subcat_verb	mBERT-rand-subw	first	49.05	50.95
mBERT	Armenian	subcat_verb	mBERT-rand-subw	last	74.6	64.7
mBERT	Basque	case_noun		first	41.483253588516746	46.315789473684205
mBERT	Basque	case_noun		last	95.93301435406698	93.34928229665073
mBERT	Basque	case_noun	mBERT-char	first	35.21531100478468	29.952153110047846
mBERT	Basque	case_noun	mBERT-char	last	93.11004784688996	90.57416267942584
mBERT	Basque	case_noun	mBERT-rand-char	first	13.014354066985643	10.622009569377989
mBERT	Basque	case_noun	mBERT-rand-char	last	58.75598086124402	55.59808612440192
mBERT	Basque	case_noun	mBERT-rand-subw	first	13.397129186602871	8.086124401913871
mBERT	Basque	case_noun	mBERT-rand-subw	last	82.82296650717703	80.0
mBERT	Basque	definite_noun		first	80.0	68.8
mBERT	Basque	definite_noun		last	87.45	87.5
mBERT	Basque	definite_noun	mBERT-char	first	65.9	63.9
mBERT	Basque	definite_noun	mBERT-char	last	81.6	84.0
mBERT	Basque	definite_noun	mBERT-rand-char	first	54.7	50.55
mBERT	Basque	definite_noun	mBERT-rand-char	last	67.3	65.75
mBERT	Basque	definite_noun	mBERT-rand-subw	first	54.35	51.3
mBERT	Basque	definite_noun	mBERT-rand-subw	last	75.35	71.35
mBERT	Basque	number_noun		first	83.65	86.9
mBERT	Basque	number_noun		last	93.45	92.8
mBERT	Basque	number_noun	mBERT-char	first	59.45	58.15
mBERT	Basque	number_noun	mBERT-char	last	83.2	82.15
mBERT	Basque	number_noun	mBERT-rand-char	first	53.25	54.5
mBERT	Basque	number_noun	mBERT-rand-char	last	70.9	76.15
mBERT	Basque	number_noun	mBERT-rand-subw	first	56.75	54.2
mBERT	Basque	number_noun	mBERT-rand-subw	last	81.65	82.15
mBERT	Bulgarian	aspect_verb		first	82.2	79.95
mBERT	Bulgarian	aspect_verb		last	84.15	82.8
mBERT	Bulgarian	aspect_verb	mBERT-char	first	76.2	72.6
mBERT	Bulgarian	aspect_verb	mBERT-char	last	78.55	75.0
mBERT	Bulgarian	aspect_verb	mBERT-rand-char	first	62.5	53.0
mBERT	Bulgarian	aspect_verb	mBERT-rand-char	last	65.45	61.15
mBERT	Bulgarian	aspect_verb	mBERT-rand-subw	first	62.65	59.55
mBERT	Bulgarian	aspect_verb	mBERT-rand-subw	last	70.85	69.25
mBERT	Bulgarian	definite_adj		first	92.0	89.7
mBERT	Bulgarian	definite_adj		last	100.0	98.9
mBERT	Bulgarian	definite_adj	mBERT-char	first	77.05	73.2
mBERT	Bulgarian	definite_adj	mBERT-char	last	99.45	99.3
mBERT	Bulgarian	definite_adj	mBERT-rand-char	first	58.45	53.05
mBERT	Bulgarian	definite_adj	mBERT-rand-char	last	81.4	75.5
mBERT	Bulgarian	definite_adj	mBERT-rand-subw	first	56.55	53.0
mBERT	Bulgarian	definite_adj	mBERT-rand-subw	last	97.35	94.95
mBERT	Bulgarian	definite_noun		first	92.55	88.05
mBERT	Bulgarian	definite_noun		last	98.1	96.1
mBERT	Bulgarian	definite_noun	mBERT-char	first	81.4	76.0
mBERT	Bulgarian	definite_noun	mBERT-char	last	95.3	92.85
mBERT	Bulgarian	definite_noun	mBERT-rand-char	first	58.95	57.05
mBERT	Bulgarian	definite_noun	mBERT-rand-char	last	76.1	73.6
mBERT	Bulgarian	definite_noun	mBERT-rand-subw	first	57.15	55.35
mBERT	Bulgarian	definite_noun	mBERT-rand-subw	last	92.95	88.25
mBERT	Bulgarian	gender_adj		first	77.3134328358209	82.73631840796018
mBERT	Bulgarian	gender_adj		last	99.95024875621891	99.95024875621891
mBERT	Bulgarian	gender_adj	mBERT-char	first	76.76616915422886	63.43283582089553
mBERT	Bulgarian	gender_adj	mBERT-char	last	100.0	99.50248756218907
mBERT	Bulgarian	gender_adj	mBERT-rand-char	first	41.840796019900495	36.318407960198996
mBERT	Bulgarian	gender_adj	mBERT-rand-char	last	99.2039800995025	97.86069651741292
mBERT	Bulgarian	gender_adj	mBERT-rand-subw	first	36.11940298507462	29.35323383084576
mBERT	Bulgarian	gender_adj	mBERT-rand-subw	last	96.06965174129354	91.09452736318408
mBERT	Bulgarian	gender_noun		first	80.54726368159204	80.99502487562188
mBERT	Bulgarian	gender_noun		last	91.19402985074626	91.94029850746269
mBERT	Bulgarian	gender_noun	mBERT-char	first	59.004975124378106	66.71641791044776
mBERT	Bulgarian	gender_noun	mBERT-char	last	84.4278606965174	82.93532338308458
mBERT	Bulgarian	gender_noun	mBERT-rand-char	first	41.44278606965174	41.54228855721392
mBERT	Bulgarian	gender_noun	mBERT-rand-char	last	68.10945273631842	64.92537313432835
mBERT	Bulgarian	gender_noun	mBERT-rand-subw	first	43.930348258706466	48.059701492537314
mBERT	Bulgarian	gender_noun	mBERT-rand-subw	last	71.8905472636816	61.99004975124378
mBERT	Bulgarian	number_adj		first	97.2	97.55
mBERT	Bulgarian	number_adj		last	100.0	99.65
mBERT	Bulgarian	number_adj	mBERT-char	first	82.45	76.05
mBERT	Bulgarian	number_adj	mBERT-char	last	99.5	98.0
mBERT	Bulgarian	number_adj	mBERT-rand-char	first	55.7	49.7
mBERT	Bulgarian	number_adj	mBERT-rand-char	last	99.0	98.0
mBERT	Bulgarian	number_adj	mBERT-rand-subw	first	55.65	51.8
mBERT	Bulgarian	number_adj	mBERT-rand-subw	last	93.45	93.8
mBERT	Bulgarian	number_verb		first	89.15	83.6
mBERT	Bulgarian	number_verb		last	99.55	96.35
mBERT	Bulgarian	number_verb	mBERT-char	first	77.3	74.25
mBERT	Bulgarian	number_verb	mBERT-char	last	98.45	98.55
mBERT	Bulgarian	number_verb	mBERT-rand-char	first	55.15	51.2
mBERT	Bulgarian	number_verb	mBERT-rand-char	last	73.3	76.7
mBERT	Bulgarian	number_verb	mBERT-rand-subw	first	54.65	52.95
mBERT	Bulgarian	number_verb	mBERT-rand-subw	last	90.75	87.45
mBERT	Bulgarian	person_verb		first	73.25	69.0547263681592
mBERT	Bulgarian	person_verb		last	95.6	96.51741293532339
mBERT	Bulgarian	person_verb	mBERT-char	first	67.3	69.85074626865672
mBERT	Bulgarian	person_verb	mBERT-char	last	93.35	95.67164179104478
mBERT	Bulgarian	person_verb	mBERT-rand-char	first	46.15	45.97014925373134
mBERT	Bulgarian	person_verb	mBERT-rand-char	last	81.6	82.68656716417911
mBERT	Bulgarian	person_verb	mBERT-rand-subw	first	43.1	43.6318407960199
mBERT	Bulgarian	person_verb	mBERT-rand-subw	last	87.9	86.01990049751244
mBERT	Bulgarian	tense_verb		first	82.35	70.0
mBERT	Bulgarian	tense_verb		last	89.9	88.60696517412934
mBERT	Bulgarian	tense_verb	mBERT-char	first	74.6	63.880597014925364
mBERT	Bulgarian	tense_verb	mBERT-char	last	84.2	75.87064676616916
mBERT	Bulgarian	tense_verb	mBERT-rand-char	first	42.15	40.298507462686565
mBERT	Bulgarian	tense_verb	mBERT-rand-char	last	66.9	66.91542288557214
mBERT	Bulgarian	tense_verb	mBERT-rand-subw	first	45.0	40.09950248756219
mBERT	Bulgarian	tense_verb	mBERT-rand-subw	last	71.95	70.49751243781095
mBERT	Bulgarian	verbform_verb		first	92.8	91.15
mBERT	Bulgarian	verbform_verb		last	100.0	98.7
mBERT	Bulgarian	verbform_verb	mBERT-char	first	85.0	89.05
mBERT	Bulgarian	verbform_verb	mBERT-char	last	97.6	95.65
mBERT	Bulgarian	verbform_verb	mBERT-rand-char	first	58.25	56.3
mBERT	Bulgarian	verbform_verb	mBERT-rand-char	last	81.7	80.3
mBERT	Bulgarian	verbform_verb	mBERT-rand-subw	first	58.4	51.35
mBERT	Bulgarian	verbform_verb	mBERT-rand-subw	last	88.0	84.15
mBERT	Bulgarian	voice_verb		first	99.0	97.6
mBERT	Bulgarian	voice_verb		last	100.0	98.65
mBERT	Bulgarian	voice_verb	mBERT-char	first	92.35	89.05
mBERT	Bulgarian	voice_verb	mBERT-char	last	98.9	98.05
mBERT	Bulgarian	voice_verb	mBERT-rand-char	first	62.6	69.25
mBERT	Bulgarian	voice_verb	mBERT-rand-char	last	83.85	77.3
mBERT	Bulgarian	voice_verb	mBERT-rand-subw	first	64.7	63.8
mBERT	Bulgarian	voice_verb	mBERT-rand-subw	last	88.3	85.9
mBERT	Catalan	gender_adj		first	95.05	93.45
mBERT	Catalan	gender_adj		last	100.0	99.95
mBERT	Catalan	gender_adj	mBERT-char	first	82.35	81.95
mBERT	Catalan	gender_adj	mBERT-char	last	100.0	99.9
mBERT	Catalan	gender_adj	mBERT-rand-char	first	55.05	49.15
mBERT	Catalan	gender_adj	mBERT-rand-char	last	83.2	78.55
mBERT	Catalan	gender_adj	mBERT-rand-subw	first	52.85	52.9
mBERT	Catalan	gender_adj	mBERT-rand-subw	last	85.8	87.5
mBERT	Catalan	gender_noun		first	95.2	95.25
mBERT	Catalan	gender_noun		last	96.35	96.9
mBERT	Catalan	gender_noun	mBERT-char	first	78.85	76.8
mBERT	Catalan	gender_noun	mBERT-char	last	89.05	88.4
mBERT	Catalan	gender_noun	mBERT-rand-char	first	57.4	49.95
mBERT	Catalan	gender_noun	mBERT-rand-char	last	77.55	70.65
mBERT	Catalan	gender_noun	mBERT-rand-subw	first	54.25	48.05
mBERT	Catalan	gender_noun	mBERT-rand-subw	last	73.2	74.3
mBERT	Catalan	mood_verb		first	90.75	88.75
mBERT	Catalan	mood_verb		last	99.5	98.9
mBERT	Catalan	mood_verb	mBERT-char	first	79.75	78.15
mBERT	Catalan	mood_verb	mBERT-char	last	99.3	98.5
mBERT	Catalan	mood_verb	mBERT-rand-char	first	72.0	68.0
mBERT	Catalan	mood_verb	mBERT-rand-char	last	91.15	84.85
mBERT	Catalan	mood_verb	mBERT-rand-subw	first	72.8	67.35
mBERT	Catalan	mood_verb	mBERT-rand-subw	last	95.05	92.85
mBERT	Catalan	number_adj		first	98.65	96.3
mBERT	Catalan	number_adj		last	100.0	99.5
mBERT	Catalan	number_adj	mBERT-char	first	91.25	89.9
mBERT	Catalan	number_adj	mBERT-char	last	100.0	99.0
mBERT	Catalan	number_adj	mBERT-rand-char	first	61.9	59.15
mBERT	Catalan	number_adj	mBERT-rand-char	last	99.0	99.0
mBERT	Catalan	number_adj	mBERT-rand-subw	first	50.6	48.25
mBERT	Catalan	number_adj	mBERT-rand-subw	last	91.45	91.0
mBERT	Catalan	number_noun		first	98.65	97.65
mBERT	Catalan	number_noun		last	100.0	99.0
mBERT	Catalan	number_noun	mBERT-char	first	92.75	90.35
mBERT	Catalan	number_noun	mBERT-char	last	99.0	98.0
mBERT	Catalan	number_noun	mBERT-rand-char	first	57.45	56.05
mBERT	Catalan	number_noun	mBERT-rand-char	last	99.45	97.8
mBERT	Catalan	number_noun	mBERT-rand-subw	first	53.1	53.65
mBERT	Catalan	number_noun	mBERT-rand-subw	last	82.35	89.15
mBERT	Catalan	number_verb		first	92.95	91.65
mBERT	Catalan	number_verb		last	100.0	99.55
mBERT	Catalan	number_verb	mBERT-char	first	79.75	70.4
mBERT	Catalan	number_verb	mBERT-char	last	99.5	99.85
mBERT	Catalan	number_verb	mBERT-rand-char	first	61.15	50.05
mBERT	Catalan	number_verb	mBERT-rand-char	last	95.6	97.0
mBERT	Catalan	number_verb	mBERT-rand-subw	first	60.4	44.35
mBERT	Catalan	number_verb	mBERT-rand-subw	last	96.15	92.45
mBERT	Catalan	tense_verb		first	81.65	82.25
mBERT	Catalan	tense_verb		last	99.0	97.7
mBERT	Catalan	tense_verb	mBERT-char	first	67.35	64.75
mBERT	Catalan	tense_verb	mBERT-char	last	92.95	90.6
mBERT	Catalan	tense_verb	mBERT-rand-char	first	34.55	27.45
mBERT	Catalan	tense_verb	mBERT-rand-char	last	64.7	64.65
mBERT	Catalan	tense_verb	mBERT-rand-subw	first	29.75	25.7
mBERT	Catalan	tense_verb	mBERT-rand-subw	last	86.95	82.8
mBERT	Catalan	verbform_verb		first	94.35643564356437	91.23762376237624
mBERT	Catalan	verbform_verb		last	100.0	100.0
mBERT	Catalan	verbform_verb	mBERT-char	first	79.00990099009901	76.13861386138612
mBERT	Catalan	verbform_verb	mBERT-char	last	99.80198019801979	98.11881188118812
mBERT	Catalan	verbform_verb	mBERT-rand-char	first	36.78217821782178	28.217821782178213
mBERT	Catalan	verbform_verb	mBERT-rand-char	last	83.51485148514851	80.5940594059406
mBERT	Catalan	verbform_verb	mBERT-rand-subw	first	33.762376237623755	29.059405940594054
mBERT	Catalan	verbform_verb	mBERT-rand-subw	last	87.92079207920793	87.17821782178217
mBERT	Croatian	case_adj		first	74.15	71.08910891089108
mBERT	Croatian	case_adj		last	93.7	93.36633663366337
mBERT	Croatian	case_adj	mBERT-char	first	59.3	60.99009900990099
mBERT	Croatian	case_adj	mBERT-char	last	73.55	77.42574257425743
mBERT	Croatian	case_adj	mBERT-rand-char	first	25.25	23.96039603960396
mBERT	Croatian	case_adj	mBERT-rand-char	last	64.65	61.68316831683169
mBERT	Croatian	case_adj	mBERT-rand-subw	first	25.0	18.56435643564356
mBERT	Croatian	case_adj	mBERT-rand-subw	last	56.75	55.3960396039604
mBERT	Croatian	case_noun		first	75.91133004926108	66.86274509803923
mBERT	Croatian	case_noun		last	92.56157635467983	87.79411764705883
mBERT	Croatian	case_noun	mBERT-char	first	54.039408866995075	47.009803921568626
mBERT	Croatian	case_noun	mBERT-char	last	69.80295566502464	69.50980392156863
mBERT	Croatian	case_noun	mBERT-rand-char	first	25.221674876847292	25.0
mBERT	Croatian	case_noun	mBERT-rand-char	last	50.985221674876854	49.55882352941176
mBERT	Croatian	case_noun	mBERT-rand-subw	first	29.310344827586203	25.98039215686274
mBERT	Croatian	case_noun	mBERT-rand-subw	last	49.35960591133004	55.68627450980392
mBERT	Croatian	definite_adj		first	91.4	88.6
mBERT	Croatian	definite_adj		last	98.8	98.35
mBERT	Croatian	definite_adj	mBERT-char	first	81.0	81.95
mBERT	Croatian	definite_adj	mBERT-char	last	98.25	97.7
mBERT	Croatian	definite_adj	mBERT-rand-char	first	69.95	66.6
mBERT	Croatian	definite_adj	mBERT-rand-char	last	97.9	96.45
mBERT	Croatian	definite_adj	mBERT-rand-subw	first	65.6	72.0
mBERT	Croatian	definite_adj	mBERT-rand-subw	last	93.05	95.45
mBERT	Croatian	gender_adj		first	57.46268656716417	62.935323383084594
mBERT	Croatian	gender_adj		last	90.69651741293532	81.84079601990051
mBERT	Croatian	gender_adj	mBERT-char	first	40.49751243781094	38.95522388059701
mBERT	Croatian	gender_adj	mBERT-char	last	76.06965174129354	70.64676616915423
mBERT	Croatian	gender_adj	mBERT-rand-char	first	34.42786069651741	33.78109452736318
mBERT	Croatian	gender_adj	mBERT-rand-char	last	75.02487562189054	66.96517412935323
mBERT	Croatian	gender_adj	mBERT-rand-subw	first	37.41293532338308	33.33333333333333
mBERT	Croatian	gender_adj	mBERT-rand-subw	last	67.06467661691542	58.208955223880594
mBERT	Croatian	gender_noun		first	79.15422885572139	77.01492537313432
mBERT	Croatian	gender_noun		last	89.75124378109453	88.80597014925372
mBERT	Croatian	gender_noun	mBERT-char	first	53.13432835820895	52.7860696517413
mBERT	Croatian	gender_noun	mBERT-char	last	78.60696517412934	70.49751243781095
mBERT	Croatian	gender_noun	mBERT-rand-char	first	46.069651741293534	38.805970149253724
mBERT	Croatian	gender_noun	mBERT-rand-char	last	53.43283582089553	44.82587064676616
mBERT	Croatian	gender_noun	mBERT-rand-subw	first	41.29353233830846	40.89552238805969
mBERT	Croatian	gender_noun	mBERT-rand-subw	last	68.75621890547265	59.65174129353234
mBERT	Croatian	number_adj		first	88.45	90.05
mBERT	Croatian	number_adj		last	97.75	97.0
mBERT	Croatian	number_adj	mBERT-char	first	70.0	72.55
mBERT	Croatian	number_adj	mBERT-char	last	85.8	89.4
mBERT	Croatian	number_adj	mBERT-rand-char	first	56.5	49.1
mBERT	Croatian	number_adj	mBERT-rand-char	last	78.85	83.25
mBERT	Croatian	number_adj	mBERT-rand-subw	first	52.65	47.55
mBERT	Croatian	number_adj	mBERT-rand-subw	last	79.75	82.5
mBERT	Croatian	number_noun		first	89.85	89.65
mBERT	Croatian	number_noun		last	95.4	95.3
mBERT	Croatian	number_noun	mBERT-char	first	67.85	62.9
mBERT	Croatian	number_noun	mBERT-char	last	86.5	82.3
mBERT	Croatian	number_noun	mBERT-rand-char	first	52.15	52.05
mBERT	Croatian	number_noun	mBERT-rand-char	last	78.85	72.95
mBERT	Croatian	number_noun	mBERT-rand-subw	first	55.5	48.0
mBERT	Croatian	number_noun	mBERT-rand-subw	last	80.5	75.4
mBERT	Croatian	number_verb		first	87.5	85.6
mBERT	Croatian	number_verb		last	98.55	98.5
mBERT	Croatian	number_verb	mBERT-char	first	68.9	65.8
mBERT	Croatian	number_verb	mBERT-char	last	97.1	96.0
mBERT	Croatian	number_verb	mBERT-rand-char	first	56.75	46.9
mBERT	Croatian	number_verb	mBERT-rand-char	last	82.8	82.15
mBERT	Croatian	number_verb	mBERT-rand-subw	first	54.95	46.2
mBERT	Croatian	number_verb	mBERT-rand-subw	last	91.05	83.95
mBERT	Croatian	tense_verb		first	94.35	93.1
mBERT	Croatian	tense_verb		last	100.0	99.5
mBERT	Croatian	tense_verb	mBERT-char	first	80.25	83.2
mBERT	Croatian	tense_verb	mBERT-char	last	99.65	99.0
mBERT	Croatian	tense_verb	mBERT-rand-char	first	56.95	49.9
mBERT	Croatian	tense_verb	mBERT-rand-char	last	75.45	72.55
mBERT	Croatian	tense_verb	mBERT-rand-subw	first	53.55	54.3
mBERT	Croatian	tense_verb	mBERT-rand-subw	last	88.75	86.85
mBERT	Croatian	verbform_verb		first	92.53731343283582	90.59701492537314
mBERT	Croatian	verbform_verb		last	100.0	99.75124378109453
mBERT	Croatian	verbform_verb	mBERT-char	first	71.94029850746269	71.79104477611939
mBERT	Croatian	verbform_verb	mBERT-char	last	99.65174129353235	99.45273631840799
mBERT	Croatian	verbform_verb	mBERT-rand-char	first	42.03980099502487	33.98009950248756
mBERT	Croatian	verbform_verb	mBERT-rand-char	last	74.22885572139303	76.96517412935324
mBERT	Croatian	verbform_verb	mBERT-rand-subw	first	39.253731343283576	35.621890547263675
mBERT	Croatian	verbform_verb	mBERT-rand-subw	last	88.85572139303483	86.2189054726368
mBERT	Czech	animacy_adj		first	89.1	85.4
mBERT	Czech	animacy_adj		last	97.3	92.35
mBERT	Czech	animacy_adj	mBERT-char	first	63.55	63.15
mBERT	Czech	animacy_adj	mBERT-char	last	72.05	74.2
